category,fulltext
accountability,"5\nST/SGB/2006/6\nSection 9\nObligations of staff members\nStaff members making disclosures pursuant to the terms of the present bulletin\nshall certify that the information disclosed is true, correct and complete to the best\nof their knowledge and belief.\nSection 10\nFinal provisions\n10.1 As a transitional measure for 2006, annual financial disclosure or declaration\nof interest statements for the period 1 January to 31 December 2005 shall be\nsubmitted by 31 May 2006.\n10.2 Secretary-General\xe2\x80\x99s bulletin ST/SGB/2005/19 is hereby abolished.\n10.3 The present bulletin shall enter into force on 1 May 2006.\n(Signed) Kofi A. Annan\nSecretary-General\n"
accountability," \nST/SGB/2018/1/Rev.2 \n \n22-09511 \n123/123 \n \n \n \nArticle 5.2  \n \n \nReview and appeal of administrative decisions  \n \n \nClaimants wishing to contest a decision taken on a claim under the present rules, \nto the extent that the decision was based on considerations other than a medical \ndetermination, shall submit to the Secretary-General a written request for \nmanagement evaluation in accordance with staff rule 11.2.  \n \n \n \nArticle 5.3  \n \n \nReopening of claims  \n \n \nUpon a written request by a claimant, or at the initiative of the Secretary-\nGeneral, a claim made under the present rules may be reopened when one or more of \nthe following criteria are met:  \n \n(a) \nThe discovery of new material evidence, if such new material evidence \nmay materially affect:  \n \n(i)  \nA determination as to whether a death, injury or illness was service-\nincurred; or  \n \n(ii)  A relevant medical determination;  \n \n(b) \nA worsening or improvement in the condition of the staff member, where \nsuch worsening or improvement is directly related to the service-incurred injury or \nillness, and which may entitle the staff member to additional compensation, or \nwarrant the reduction or elimination of compensation;  \n \n(c) \nA material mistake was made by the United Nations in the processing of a \nclaim that had an impact on its disposition.  \n \nWhen a claim is reopened subject to the provisions above, any such claim shall \nbe considered in accordance with the present rules. The Secretary-General and the \nclaimant shall be bound by determinations previously made, unless new material \nevidence or material mistake undermines or otherwise calls into question in \nsubstantial part those determinations.  \n \n \n \n Section VI  \n \n Transitional measures  \n \n \n \n \nArticle 6.1  \n \n \nTransitional measures  \n \n \n(a) \nFor claims filed for incidents occurring after the entry into force of the \npresent revised rules, such revised rules will be applied.  \n \n(b) \nFor claims filed for incidents that occurred prior to the entry into force of \nthe present revised rules, the previously applicable rules will be applied, except that \nannual compensation for widows or widowers under the former article 10.2 will \ncontinue to be payable provided that the widow or widower has not remarried prior \nto the entry into force of the present revised rules. \n \n22-09511 (E)    210622 \n*2209511* \n"
accountability,"ST/SGB/2023/1 \n \n \n22-28707 \n116/116 \n \n \n \nArticle 5.2  \n \n \nReview and appeal of administrative decisions  \n \n \nClaimants wishing to contest a decision taken on a claim under the present rules, \nto the extent that the decision was based on considerations other than a medical \ndetermination, shall submit to the Secretary-General a written request for \nmanagement evaluation in accordance with staff rule 11.2.  \n \n \nArticle 5.3  \n \n \nReopening of claims  \n \n \nUpon a written request by a claimant, or at the initiative of the Secretary-\nGeneral, a claim made under the present rules may be reopened when one or more of \nthe following criteria are met:  \n \n(a) \nThe discovery of new material evidence, if such new material evidence \nmay materially affect:  \n \n(i)  A determination as to whether a death, injury or illness was service-\nincurred; or  \n \n(ii)  A relevant medical determination;  \n \n(b) \nA worsening or improvement in the condition of the staff member, where \nsuch worsening or improvement is directly related to the service-incurred injury or \nillness, and which may entitle the staff member to additional compensation, or \nwarrant the reduction or elimination of compensation;  \n \n(c) \nA material mistake was made by the United Nations in the processing of a \nclaim that had an impact on its disposition.  \n \nWhen a claim is reopened subject to the provisions above, any such claim shall \nbe considered in accordance with the present rules. The Secretary-General and the \nclaimant shall be bound by determinations previously made, unless new material \nevidence or material mistake undermines or otherwise calls into question in \nsubstantial part those determinations.  \n \n \n \n Section VI  \n \n Transitional measures  \n \n \n \n \nArticle 6.1  \n \n \nTransitional measures  \n \n \n(a) \nFor claims filed for incidents occurring after the entry into force of the \npresent revised rules, such revised rules will be applied.  \n \n(b) \nFor claims filed for incidents that occurred prior to the entry into force of \nthe present revised rules, the previously applicable rules will be applied, except that \nannual compensation for widows or widowers under the former article 10.2 will \ncontinue to be payable provided that the widow or widower has not remarried prior \nto the entry into force of the present revised rules. \n \n22-28707 (E)    230123 \n*2228707* \n"
accountability," \nST/AI/2015/4 \n \n5/5 \n15-10823 \n \n \n Section 7 \n \n Write-off and disposal of property \n \n \n7.1 To the extent that the advice of the Headquarters Property Review Board or a \nlocal property survey board established pursuant to financial rule 105.22 is required:  \n \n(a) \nItems of tangible property that are surplus to operational requirements, \nunserviceable or obsolete and are not encumbered by any third-party rights shall be \npromptly identified, written off and disposed of in accordance with financial \nregulation 5.14, financial rules 105.23 and 105.24 and related administrative \nissuances; \n \n(b) \nLoss, damage, impairment or other discrepancy in respect of items of \nproperty shall be written off in accordance with financial rule 106.7 and related \nadministrative issuances. \n7.2 To the extent that the advice of the Headquarters Property Review Board or a \nlocal property survey board established pursuant to financial rule 105.22 is not \nrequired, write-off and disposal of property shall be implemented by the official \nwith the requisite delegation of authority to do so. \n \n \n \n Section 8 \n \n Final provisions \n \n \n8.1  The present instruction shall enter into force on the date of its issuance. \n8.2  Administrative instructions ST/AI/374 of 16 June 1992, entitled \xe2\x80\x9cProperty \nrecords and inventory control under revised definition of non-expendable property\xe2\x80\x9d, \nand ST/AI/2003/5 of 19 May 2003, entitled \xe2\x80\x9cProperty management and inventory \ncontrol at United Nations Headquarters\xe2\x80\x9d, are hereby abolished. \n \n \n(Signed) Yukio Takasu \nUnder-Secretary-General for Management \n \n"
finance and budget,
finance and budget," \nST/SGB/2003/7/Amend.1\n \n3 \n10-69722 \n \nthe \nrecording \nof \nobligations \nagainst \nwhich \nrelevant \npayments \nor \ndisbursements, made only on fulfilment of contractual and other obligations, \nshall be recorded as expenditure. An obligation shall be recorded in the \naccounts as unliquidated during the period set forth in regulation 5.3 and until \nsuch point as it is reobligated, liquidated or cancelled in accordance with \nregulations 5.4 and 5.5, as appropriate. \n \n \n(b) \nIf, in the time that elapses between the establishment of an \nobligation and the processing of final payment, the cost of the relevant goods \nor services has, for whatever reason, increased by less than $4,000 (or its \nequivalent in other currencies) or 10 per cent of the obligation, whichever is \nlower, no change need be made to the amount of the original obligation. If, \nhowever, the increase in costs exceeds $4,000 (or its equivalent in other \ncurrencies), the original obligation must be revised to reflect this increase in \nrequirements and further certification is required. All increases in obligations, \nincluding those resulting from currency fluctuations, shall be subject to the \nsame procedures as apply to the incurring of original obligations. \n3. \nThe present bulletin enters into force on the date of its issuance. \n \n \n(Signed) BAN Ki-moon \nSecretary-General \n \n"
finance and budget,"37\nST/SGB/2003/7\n(iv)\nAny defect in the general system or detailed regulations governing the\ncontrol of receipts and disbursements or of supplies and equipment;\n(v)\nExpenditure not in accordance with the intention of the General\nAssembly after making allowance for duly authorized transfers within the\nbudget;\n(vi)\nExpenditure in excess of appropriations as amended by duly authorized\ntransfers within the budget;\n(vii) Expenditure not in conformity with the authority which governs it;\n(d)\nThe accuracy or otherwise of the supply and equipment records as\ndetermined by stock-taking and examination of the records;\n(e)\nIf appropriate, transactions accounted for in a previous period concerning\nwhich further information has been obtained or transactions in a later period\nconcerning which it seems desirable that the General Assembly should have early\nknowledge.\n7.\nThe Board of Auditors may make such observations with respect to its findings\nresulting from the audit and such comments on the Secretary-General\xe2\x80\x99s financial\nreport as it deems appropriate to the General Assembly or to the Secretary-General.\n8.\nWhenever the scope of audit of the Board of Auditors is restricted or whenever\nthe Board is unable to obtain sufficient evidence, it shall refer to the matter in its\nopinion and report, making clear in its report the reasons for its comments and the\neffect on the financial position and the financial transactions as recorded.\n9.\nIn no case shall the Board of Auditors include criticism in its report without\nfirst affording the Secretary-General an adequate opportunity of explanation on the\nmatter under observation.\n10.\nThe Board is not required to mention any matter referred to in the foregoing\nthat, in its opinion, is insignificant in all respects.\n03-35735 (E)    230503\n*0335735*\n"
finance and budget,
finance and budget,
finance and budget,", \nST/SGB/188 \nAnnex \nPage 3 \n(ii) \nProgramme support \noperating \nreserve. \nThis \nis a sum set aside \nwithin \nthe cash resources \nof programme support \naccounts \nto meet any \nreduction \nin programme support \nincome activities \nresulting \nfrom \nunforeseen \nshortfalls \nin programme delivery, \ninfl.ation \nand currency \nadjustments \nor to liquidate \nlegal \nobligations \nin the case of \nunforeseen \ntermination \nof activities \nfinanced \nfrom extrabudgetary \nresources. \n,l%e level \nof \nthe operating \nreserve \nis calculated \nas a \npercentage \nof estimated \nannual \nprogramme support \ncost \nincome. \n(g) \nProgramme support \ncosts \nAdministrative \nand technical \ncosts \nincurred \nin the implementation \nof \nprogrammes and projects \nfinanced \nfrom extrabudgetary \nresources, \nincluding \ntrust \nfunds. \n(h) \nVoluntary \ncontribution \nA payment or an agreement \nin writing \n(pledge) \nto make a payment in cash or in \nkind \nto a trust \nfund. \n"
finance and budget,"5\nST/SGB/2006/5\nemblems of the United Nations and separately administered organs and programmes\nof the United Nations by the donor for commercial purposes, including\nadvertisement, display on websites or use in other promotional material, is generally\nprohibited.\n22.\nAny acknowledgement or recognition of the donor\xe2\x80\x99s contribution, or any use\nof the names or emblems of the United Nations and separately administered organs\nand programmes of the United Nations in connection with the contribution, shall be\naccorded in a manner that ensures that such acknowledgement or recognition does\nnot imply the endorsement by the United Nations or separately administered organs\nand programmes of the United Nations of, or preference for or promotion of the\ndonor or its activities, goods or services.\n"
finance and budget,"ST/IC/2013/36 \n \n \n14-20068 \n164/164 \n \nUnguaranteed residual value: that portion of the residual value of a leased asset, \nthe realization of which by the lessor is not assured or guaranteed solely by a party \nrelated to the lessor.  \nUnearned finance revenue: the difference between: (a) the aggregate of the \nminimum lease payments under a finance lease from the standpoint of the lessor and \nany non-guaranteed residual value accruing to the lessor; and (b) the present value \nof (a), at the rate implicit in the lease.  \nValue in use of an asset: the present value of an asset\xe2\x80\x99s remaining service potential.  \nVenturer: a party to a joint venture that has joint control over the joint venture.  \nVoucher: a document that serves as an authorization for any financial transaction \nand forms the basis for recording an accounting entry for transaction in the books of \nthe original entry, e.g., a cash receipt voucher, bank receipt voucher or journal \nvoucher.  \nWeighted average cost: an inventory valuation method used where different \nquantities of goods are purchased at different unit costs. Under this method, weights \nare assigned to the cost price on the basis of the quantity of each item at each price.  \nWritten-down value: in respect of a fixed asset, its cost of acquisition or \nsubstituted value less accumulated depreciation.  \nWork in progress: goods in the process of production for their sale or use.  \n \n \n"
finance and budget,
finance and budget," \nST/IC/2023/3 \n \n35/35 \n23-01009 \n \n \n \n \nUnited Nations \n \n \n \nNations Unies \n \n \nRequest for settlement of 2022 income taxes \n \nChecklist \n \n(Do not include with your submission) \nThis checklist is intended to assist staff members who are submitting claims for reimbursement of 2022 income taxes to \nensure that they have submitted complete and correct claims in a timely manner. To facilitate logging and processing of \n2022 claims for reimbursement of income taxes, the Income Tax Unit, New York, asks that the documents submitted with \nyour claim for reimbursement of 2022 income taxes be signed and ordered as follows: \n \n F.65 \n F.65/A (if serving outside the United States) \n Federal income tax return \n New York state income tax return \n Other state income tax return(s) \n Memo attached for not claiming dependant(s) as exemption(s) on tax returns1 \n IRS Form 4506-C \n \nSubmission dates \n \n1. \n \nMy duty station is in the United States, my UN submission deadline is 1 March 2023 and my IRS filing \ndeadline for my 2022 income tax return is 18 April 2023. \n \n2. \n \nMy duty station is outside the United States, my UN submission deadline is 1 April 2023 and my IRS filing \ndeadline for my 2022 income tax return is 15 June 2023. \n \nIRS form 4506-C \n \n3. \n \nI have included IRS form 4506-C with my claim for reimbursement of 2022 income taxes. \n \n4. \n \nIf I file a joint return with my spouse, IRS form 4506-C includes the name and Social Security number of my \nspouse. \n \n5. \n \nI have included only those tax years 2019, 2020, 2021, and 2022 during which I was a United Nations staff member. \n \n6. \n \nIRS Form 4506-C includes my address as on my 2022 IRS form 1040 filed. \n \n7. \n \nI have dated IRS form 4506-C according to the American dating convention of MM/DD/YYYY in numerical format. \n \n8. \n \nI have not altered the signature/date of IRS form 4506-C with correction fluid or by crossing out or otherwise \naltering the signature/date on the form. \n \nForms F.65 and F.65/A \n \n9. \n \nI have completed all mandatory fields including my index number, my Social Security number, my name, \nand my spouse\xe2\x80\x99s name, Social Security number and index number (if applicable). \n \n10. \n \nI have indicated the date my citizenship or residency status in the United States changed in 2022. \n \nIncome tax returns \n \n11. \n \nI have included signed, complete copies of my 2022 federal and all applicable state income tax returns. \n \n12. \n \nI must file my 2022 income tax returns by the IRS filing deadline applicable to me or, in the alternative, I \nmust apply to the IRS for an extension of time to file using IRS form 4868 before my IRS filing deadline. \nI understand that the United Nations will not file my tax returns on my behalf. \n \n__________________ \n \n1  For staff members receiving dependency benefits. \nF.247 (1-23) \n"
finance and budget,
finance and budget, \nST/IC/2024/1 \n \n37/37 \n24-00905 \n \n \n
health and wellbeing,"8\nST/AI/2000/10\nReturn to duty station\n10.\nIn all cases of emergency medical evacuation, clearance to return to the\nmission area shall be obtained from the United Nations Medical Director. This\nclearance will be based on a complete medical report obtained from the attending\nphysician at the place of evacuation.\n11.\nIn cases of non-emergency medical evacuation, return to the mission area does\nnot require clearance from the United Nations Medical Director, unless otherwise\nindicated at the time of approval of the evacuation.\n12.\nIn cases of medical repatriation, return to the mission area, if requested, shall\nrequire the prior approval of the United Nations Medical Director.\nSubsistence allowance\n13.\nThe provisions of section 8 of ST/AI/2000/10 shall apply to staff members\nserving on peacekeeping missions who are medically evacuated. When a subsistence\nallowance is payable during medical evacuation, retained accommodation may be\nreimbursed as provided in section 8.3 of ST/AI/1997/6, but mission subsistence\nallowance shall not be payable for the same period.\nMedical expenses\n14.\nThe United Nations is responsible for all reasonable and customary medical\nbills pertaining to the treatment of civilian police, military observers and members\nof national military contingents, when the injury or illness is deemed to be service-\nincurred.\n15.\nThe United Nations is responsible for that portion of reasonable and customary\nmedical bills pertaining to the treatment of civilian personnel not covered by a\nmedical insurance carrier when the injury or illness is deemed to be service-\nincurred, and when the staff member is in travel status (that is, in receipt of mission\nsubsistence allowance).\nRecord-keeping\n16.\nExcept for medical evacuations within the mission area, a complete medical\nreport established by the physician in attendance in the mission and subsequently, at\nthe place of evacuation, shall be forwarded to the United Nations Medical Director.\n"
health and wellbeing,"5\nST/SGB/2003/18\nContinuity of employment\n8.\nUnder this heading, the following provisions apply:\n\xe2\x80\xa2 HIV infection or AIDS should not be considered as a basis for termination of\nemployment.\n\xe2\x80\xa2 If fitness to work is impaired by HIV-related illness, reasonable alternative\nworking arrangements should be made.\n\xe2\x80\xa2 United Nations staff members with AIDS should enjoy the same health and\nsocial protection as that afforded to United Nations employees suffering from\nother serious illnesses.\n\xe2\x80\xa2 HIV/AIDS screening, whether direct (HIV testing), indirect (assessment of risk\nbehaviours) and/or questioning about tests undertaken, should not be required.\n\xe2\x80\xa2 Confidentiality regarding all medical information, including HIV/AIDS status,\nmust be maintained.\n\xe2\x80\xa2 There should be no obligation on the part of the employee to inform the\nemployer regarding his or her HIV/AIDS status.\n\xe2\x80\xa2 Persons in the workplace affected by, or perceived to be affected by HIV/\nAIDS, must be protected from stigmatization and discrimination by\nco-workers, unions, employers or clients.\n\xe2\x80\xa2 HIV-infected employees, and those with AIDS, should not be discriminated\nagainst, including with regard to their access to and receipt of benefits from\nstatutory social security programmes and occupationally-related schemes.\n\xe2\x80\xa2 The administrative, personnel and financial implications of these principles\nunder terms of appointment and service should be monitored and periodically\nreviewed.\nD.\nHealth-insurance benefits and programmes\n9.\nHealth insurance coverage should be available for all United Nations\nemployees regardless of HIV status. There should be no pre- or post-employment\ntesting for HIV infection.\n10.\nHealth insurance premiums for United Nations employees should not be\naffected by HIV status. No testing for HIV infection should be permitted with\nrespect to any health insurance scheme.\n"
health and wellbeing,"ST/IC/2021/10 \n \n \n21-06920 \n62/62 \n \nPOS: A point of service (POS) plan is a type of managed care health insurance plan \nin the United States of America. It combines characteristics of the health maintenance \norganization (HMO) and the preferred provider organization (PPO). It provides \nhealth-care services at a lower overall cost. The United Nations POS plan with Aetna \nalso allows plan participants to visit any in-network physician or health-care provider \nwithout first requiring a referral from a primary care physician.  \nPPO: A preferred provider organization (PPO) is a medical care arrangement in which \nmedical professionals and facilities provide services to subscribed clients at reduced \nrates. PPO medical and health-care providers are known as \xe2\x80\x9cpreferred providers\xe2\x80\x9d. \nPPO plans allow participants to visit any in-network physician or health-care provider \nthey wish without first requiring a referral from a primary care physician. \nPrognosis: A description of the likely course of a disease or illness provided by a \nphysician, including the patient\xe2\x80\x99s chances for recovery.  \nReasonable and customary: The prevailing pattern of charges for professional and \nother health services at the staff member\xe2\x80\x99s duty station or the approved location (for \nexample, the place of approved medical evacuation or regional area of care) where \nthe service is provided.  \nRecognized expenses: The expenses for services claimed, provided they are found to \nbe reasonable and customary at the duty station or, when obtained elsewhere in the \ncountry or at an approved medical evacuation location or regional area of care, at the \nplace provided. If the expenses claimed are found to be above what is considered \nreasonable and customary, then the recognized amount for the purpose of calculating \nreimbursement is the reasonable and customary amount as reasonably determined by \nthe third-party administrator.  \nSubscriber: An active or after-service participant enrolled in the United Nations \nhealth insurance programme or, upon the death of the former or the latter, the \nsurviving spouse (if any) or the eldest eligible child recognized and receiving a \nmonthly benefit from the United Nations Joint Staff Pension Fund.  \nThird-party administrator: An outside entity engaged by the United Nations for the \nprocessing and payment of United Nations health insurance programme claims. \n \n"
human resources,"ST/AI/234/Rev.1/Amend.2 \n \n \n14-60419 \n2/2 \n \n4.  \nAnnex II of the instruction is hereby amended as follows: \n \nPage 13, text relating to rule 110.4, is hereby replaced by:  \n \n\xe2\x80\x9c10.4 \nDecision to place a staff member in the General Service or related \ncategories, the Professional and higher categories up to and including \nthe D-2 level, and the Field Service category, on administrative leave \nat any time after an allegation of misconduct and pending the initiation \nof an investigation and until the completion of the disciplinary process. \nSuch placement on administrative leave is with pay unless otherwise \ndetermined by the Under-Secretary-General for Management.  \n \n(except as provided in annex V)\xe2\x80\x9d \n5.  \nAnnex V of the instruction is hereby amended as follows:  \n \nPage 20, text relating to rule 110.4, is hereby replaced by:  \n \n\xe2\x80\x9c10.4 \nDecision to place a staff member in the General Service or related \ncategories, and the Professional and higher categories up to and \nincluding the D-2 level, on administrative leave at any time after an \nallegation of misconduct and pending the initiation of an investigation \nand until the completion of the disciplinary process. Such placement \non administrative leave is with pay unless otherwise determined by the \nUnder-Secretary-General for Management.\xe2\x80\x9d  \n6. \nThe \nprovisions \nof \nthe \npresent \nadministrative \ninstruction \namending \nST/AI/234/Rev.1 shall prevail over any inconsistent provisions contained in \nadministrative instruction ST/AI/371 entitled \xe2\x80\x9cRevised disciplinary measures and \nprocedures\xe2\x80\x9d, as amended. \n7. \nThe present instruction shall enter into force on the date of its issuance and \nshall remain in effect until further notice.  \n \n \n(Signed) Yukio Takasu \nUnder-Secretary-General for Management \n \n"
human resources,
human resources," \nST/AI/2019/6 \n \n3/3 \n20-00132 \n \n \n(h) \nProviding guidelines to officials in their entity for the control of unofficial \nforms that may be necessary for one-time local use, keeping a record of all such forms \nand ensuring that they are cancelled when their purpose has been accomplished. \n \n \n \nSection 4 \n \n \nProcedures for requesting assistance with regard to official forms \n \n \nWhen a new official form or a major revision of an existing official form is \nneeded, the requesting official shall send a draft of the requested form to the Office \nof Human Resources, through the forms liaison officer of their entity. Upon \ncompletion of its review and approval process, the Office of Human Resources shall \nauthorize the preparation of the final, official version and its translation, if required. \nOfficial forms should be made available in English and French at a minimum. \n \n \n \nSection 5 \n \n \nFinal provisions \n \n5.1 The present instruction shall enter into force on the date of its issuance. \n5.2 Administrative instruction ST/AI/261 of 12 December 1978, entitled \xe2\x80\x9cForms \nmanagement\xe2\x80\x9d, is hereby abolished. \n \n \n(Signed) Catherine Pollard \nUnder-Secretary-General for Management Strategy, \nPolicy and Compliance \n \n"
human resources,
human resources,
human resources,
human resources,
human resources,
human resources,
human resources,"ST/AI/1998/1\nPage 2\nof income from employment (unreimbursed employment expenses) may be subtracted\nfrom United Nations taxable earnings in arriving at taxable income.\n2.4\nStaff members who receive a dependency allowance from the United Nations\nfor a spouse residing in the United States must file their tax returns jointly\nor provide an acceptable written explanation for choosing an alternative filing\nstatus. For tax returns with filing status other than married filing jointly,\nthe final reimbursement of income taxes will be calculated as if a joint return\nhad been filed, using the standard deduction for married filing jointly for the\ntax year in question or the actual amount of itemized deductions claimed,\nwhichever is greater.\n2.5\nStaff members who have received United Nations dependency allowances for\ntheir relatives or secondary dependents residing in the United States are\nrequired to claim the appropriate exemptions for the dependants, even if their\nfiling status is married filing separately, or provide a written explanation as\nto the reason for not doing so.\nSection 3\nProcedures\nProcedures that set out the requirements incumbent on staff members making\napplications for tax reimbursement or advances to pay estimated taxes are\nannounced on a yearly basis by the Controller in an information circular.\nSection 4\nFinal provision\nThe present administrative instruction shall enter into force on\n28 January 1998.\n(Signed) Joseph E. CONNOR \nUnder-Secretary-General for Management\n-----\n"
human resources,
human resources,
human resources,
human resources,"ST/AI/387\nPage 4\nAuthority of United Nations security officers\n16.\nIn accordance with administrative instruction ST/AI/309/Rev.1 of\n17 February 1984, United Nations security officers function as agents of the\nSecretary-General to preserve order and to protect persons and property within\nthe Headquarters area.\nAll persons on the premises are expected to comply with\nthe directions that may be issued by security officers in the performance of\ntheir functions.\nThe security officers, in turn, have been instructed to\nexercise their functions with tact, courtesy and in conformity with established\nrules and regulations, including applicable local law. 2/\n17.\nIn accordance with ST/AI/309/Rev.1, security officers are authorized to\nsearch persons, vehicles, handbags, briefcases or packages and to seize property\nif they have reason to believe that any person is carrying an unauthorized\nweapon, explosives or other dangerous substances or narcotics, or is removing\nproperty from the premises without proper authorization.\n18.\nRefusal to comply with directions issued by security officers, within their\nauthority, may result in removal from or denial of access to the premises and\nshall be reported by the Chief, Security and Safety Service, to the Director of\nthe Office of General Services for appropriate action. 3/\n19.\nCompliance with and application of the present administrative instruction\nin no way prejudices a staff member\xe2\x80\x99s duties, obligations and privileges under\nthe Staff Regulations and Rules or his or her right to file a complaint with the\nDirector, Office of General Services, through the Chief, Security and Safety\nService.\n20.\nThe following administrative issuances will be amended in due course to\nreflect the changes contained in the present administrative instruction:\nadministrative instruction ST/AI/310 of 20 September 1983 on registration of\nstaff members and affiliates on Saturdays, Sundays, holidays and after office\nhours; information circular ST/IC/84/85 of 11 December 1984 on delivery and\npicking up of packages; information circular ST/IC/84/91 of 28 December 1984 on\nsecurity arrangements; administrative instruction ST/AI/333 of 29 November 1985\non personal identification cards - Headquarters.\nNotes\n1/\nThis provision is supplemental to administrative instruction\nST/AI/309/Rev.1 of 17 February 1984 which shall remain in force.\nIt will be\nrevised accordingly in due course.\n2/\nSubject to the provisions of this instruction, security officers are\nauthorized, within the limits permitted by local law, to effect arrest,\nincluding the use of force, where the person to be arrested is committing or\nattempting to commit an offence or has, in fact, committed a felony (see ""Legal\nGuidelines"", Handbook for Personnel of the Security and Safety Service, p. 60,\npart IX, sect. 9.03).\n3/\nThis provision is supplemental to administrative instruction\nST/AI/309/Rev.1 which will be revised accordingly in due course.\n-----\n"
human resources,"ST/AI/400\nPage 4\nmedical board, the period following the date of notification that sick leave has\nbeen refused should be compensatable.\nHowever, should it be decided not to\nconsider the period in question as sick leave, the remuneration received by the\nstaff member during this period shall be recovered by the Organization.\n14.\nThe determination as to whether or not the staff member had a valid excuse\nfor failing to submit evidence of incapacity, or a plausible explanation for the\nabsence, within the prescribed or reasonable time limits, lies with the Office\nof Human Resources Management.\nAbandonment of post following annual or special leave\n15.\nWhere a staff member has been absent from duty on approved annual or\nspecial leave and has failed to report for duty on the expiration of the\napproved period of leave the supervisor shall report the matter to the executive\nor administrative officer, who will attempt to communicate with the staff member\nas in paragraph 9 above.\nIf the staff member fails to report for duty by the\nend of the approved period and does not furnish a plausible explanation within\n10 working days, the matter shall be referred to the Office of Human Resources\nManagement for cases at Headquarters, or the head of office at duty stations\naway from Headquarters, whereupon the personnel officer or administrative\nofficer concerned will proceed on the same lines as indicated in paragraph 10\nabove.\nSeparation action\n16.\nUpon approval of separation for abandonment of post, the personnel officer\nconcerned will process the separation action and will notify the staff member at\nthe address most recently provided by him or her, advising of the\nSecretary-General\xe2\x80\x99s decision and the effective date in accordance with\nparagraph 12 above.\nSeparation for abandonment of post is not termination and\ntherefore the staff member will not be entitled to any notice of termination or\nthe payment of termination indemnity, and no repatriation grant is payable under\nthe terms of staff rule 109.5 (i).\n-----\n"
human resources,"ST/AI/404\nPage 3\n8.\nStaff whose fixed-term appointment will expire during the period of detail\nmay be extended until the expected end of the detail, but mission service does\nnot of itself create an expectancy of renewal.\nStaff on fixed-term appointment\nwho wish to go on mission should discuss the matter of their return with the\nreleasing department, which will determine in writing whether it can undertake\nto reabsorb them depending on the needs of the service.\n9.\nThe demand for qualified staff to serve on field missions has placed a\nsignificant burden on departments and on the staff who remain, who must continue\nto maintain and even enhance productivity in programme delivery.\nIt is for this\nreason that departments cannot be expected to block posts for more than two\nyears when permanent staff members proceed on mission detail.\nEvery effort will\nbe made to balance their needs with those of the special mission and of the\nOrganization as a whole.\nWith this in mind, in order to begin building a system\nof mission rotation that will meet the needs of both programme managers and the\nstaff, it has been decided to set an 8 to 10 per cent ceiling as a guideline in\ndetermining the percentage of staff that a department or office is expected to\nrelease for mission service.\nWithin that ceiling programme managers are\nexpected to ensure equitable opportunities for the release of their staff for\nmission service.\nOnce a department/office has reached this ceiling, the\ndepartment/office would not be expected to release additional staff until a\ncorresponding number of staff have returned.\nThis will serve to facilitate the\nrelease of staff for both long-term and short-term assignments and will, in\nturn, give more staff an opportunity to benefit systematically from the\nassignment.\nIt would also ensure that programme managers will continue to have\ncommitted and competent staff carrying out the programmes that have been\nentrusted to them.\n10.\nThe Office of Human Resources Management and the Department of\nPeace-keeping Operations are developing an intensive training programme for\nstaff undertaking core administrative functions in field missions.\nThis\nprogramme includes two weeks of classroom instruction on United Nations\npeace-keeping operations and areas of specialization, followed by two and a half\nmonths of on-the-job training.\n11.\nIn order better to prepare staff and, when appropriate, their families for\nmission service, counselling sessions dealing with stress management are also\nbeing developed.\nLessons learned from the present pilot training programme and\nthe further development of relevant counselling sessions will serve as a basis\nfor the issuance of an administrative instruction on the subject of training and\ncounselling for mission service.\n12.\nDebriefing procedures in situ are also an important tool that can assist in\nboth planning for future missions and the reintegration of staff members to life\nand work at the parent duty station.\nSuch procedures will be established as\nsoon as possible, and will be communicated in an administrative instruction on\nthe subject of debriefing of staff returning from mission detail.\n-----\n"
human resources,"ST/AI/2019/4 \n \n \n19-16360 \n6/6 \n \nDepartment of Management Strategy, Policy and Compliance. To receive clearance, \nthe sponsor must provide the Division of Administration of the Department of \nOperational Support with a certificate of insurance in accordance with the insurance \nrequirements stipulated in the contract or memorandum of understanding. The \nDivision of Administration will forward the certificate of insurance to the Risk \nManagement and Compensation Section for review and clearance. Such a certificate \nmust be furnished to the Risk Management and Compensation Section two weeks \nprior to the scheduled event. \n \n \n \nSection 9 \nFinal provisions \n \n \nThe present instruction supersedes administrative instruction ST/AI/416, \nentitled \xe2\x80\x9cUse of United Nations premises for meetings, conferences, special events \nand exhibits\xe2\x80\x9d. It should be read in conjunction with administrative instructions \nST/AI/387, on security arrangements for admission to United Nations Headquarters, \nand ST/AI/2019/5, on the authority of United Nations security officers. \n \n \n(Signed) Catherine Pollard \nUnder-Secretary-General \nfor Management Strategy, Policy and Compliance \n \n"
human resources,
